web-scraper-order,web-scraper-start-url,product,product-href,product_name,product_rating,rating_amount,price,product_sold,condition,unit_weight,category,description,store_name,store_rating,store_location,image_1-src,image_2-src,image_3-src,image_4-src,image_5-src
"1661437843-509","https://www.tokopedia.com/search?condition=1%232&navsource=home&page=13&q=handphone&rt=4%2C5&source=universe&srp_component_id=02.02.02.01&st=product","Samsung A03 3/32 New Garansi ResmiRp1.349.000CashbackTangerangDavid Premium Store4.8Terjual 100+","https://www.tokopedia.com/davidpremium/samsung-a03-3-32-new-garansi-resmi-random?extParam=ivf%3Dfalse%26src%3Dsearch","Samsung A03 3/32 New Garansi Resmi - RANDOM","4.8","(26 rating)","Rp1.349.000","Terjual 100+","Baru","400 g","Android OS","null","David Premium Store","4.9","Kota Tangerang","https://images.tokopedia.net/img/cache/100-square/VqbcmM/2022/4/18/005f9b18-d09e-4a7b-a06f-155f22e20c91.jpg.webp?ect=4g","https://images.tokopedia.net/img/cache/100-square/VqbcmM/2022/4/18/005f9b18-d09e-4a7b-a06f-155f22e20c91.jpg.webp?ect=4g","https://images.tokopedia.net/img/cache/100-square/VqbcmM/2022/4/18/005f9b18-d09e-4a7b-a06f-155f22e20c91.jpg.webp?ect=4g","https://images.tokopedia.net/img/cache/100-square/VqbcmM/2022/4/18/005f9b18-d09e-4a7b-a06f-155f22e20c91.jpg.webp?ect=4g","https://images.tokopedia.net/img/cache/100-square/VqbcmM/2022/4/18/005f9b18-d09e-4a7b-a06f-155f22e20c91.jpg.webp?ect=4g"
"1661445187-1028","https://www.tokopedia.com/search?condition=1%232&navsource=home&page=4&q=handphone&rt=4%2C5&source=universe&srp_component_id=02.02.02.01&st=product","Lagi TrendingXiaomi Redmi Note 10 5G 8/128 GB Garansi ResmiRp2.769.000CashbackJakarta PusatGudang-HP5.0Terjual 1 rb+","https://www.tokopedia.com/gudang-hp/xiaomi-redmi-note-10-5g-8-128-gb-garansi-resmi-hijau?extParam=ivf%3Dfalse%26src%3Dsearch","Xiaomi Redmi Note 10 5G 8/128 GB Garansi Resmi - Hijau","5","(745 rating)","Rp2.769.000","Terjual 1 rb+","Baru","500 g","Android OS","null","Gudang-HP","4.9","Jakarta Pusat","https://images.tokopedia.net/img/cache/100-square/VqbcmM/2021/8/26/5b251220-9d80-44f7-821e-857328ae94b5.jpg.webp?ect=4g","https://images.tokopedia.net/img/cache/100-square/VqbcmM/2021/8/26/5b251220-9d80-44f7-821e-857328ae94b5.jpg.webp?ect=4g","https://images.tokopedia.net/img/cache/100-square/VqbcmM/2021/8/26/5b251220-9d80-44f7-821e-857328ae94b5.jpg.webp?ect=4g","https://images.tokopedia.net/img/cache/100-square/VqbcmM/2021/8/26/5b251220-9d80-44f7-821e-857328ae94b5.jpg.webp?ect=4g","https://images.tokopedia.net/img/cache/100-square/VqbcmM/2021/8/26/5b251220-9d80-44f7-821e-857328ae94b5.jpg.webp?ect=4g"
"1661436928-426","https://www.tokopedia.com/search?condition=1%232&navsource=home&page=15&q=handphone&rt=4%2C5&source=universe&srp_component_id=02.02.02.01&st=product","Lagi TrendingXiaomi Redmi 5a 2/16GB garansi 1 TahunRp570.000Jakarta Timuryunishop004.8Terjual 1 rb+","https://www.tokopedia.com/yunishop00/xiaomi-redmi-5a-2-16gb-garansi-1-tahun-kuning?extParam=ivf%3Dfalse%26src%3Dsearch","Xiaomi Redmi 5a 2/16GB garansi 1 Tahun - Kuning","4.8","(772 rating)","Rp570.000","Terjual 1 rb+","Baru","400 g","Android OS","null","yunishop00","4.8","Jakarta Timur","https://images.tokopedia.net/img/cache/100-square/VqbcmM/2021/4/12/6266bd22-08f3-4c6f-8c48-f2394dca5684.jpg.webp?ect=4g","https://images.tokopedia.net/img/cache/100-square/VqbcmM/2021/4/12/6266bd22-08f3-4c6f-8c48-f2394dca5684.jpg.webp?ect=4g","https://images.tokopedia.net/img/cache/100-square/VqbcmM/2021/4/12/6266bd22-08f3-4c6f-8c48-f2394dca5684.jpg.webp?ect=4g","https://images.tokopedia.net/img/cache/100-square/VqbcmM/2021/4/12/6266bd22-08f3-4c6f-8c48-f2394dca5684.jpg.webp?ect=4g","https://images.tokopedia.net/img/cache/100-square/VqbcmM/2021/4/12/6266bd22-08f3-4c6f-8c48-f2394dca5684.jpg.webp?ect=4g"
"1661440039-711","https://www.tokopedia.com/search?condition=1%232&navsource=home&page=10&q=handphone&rt=4%2C5&source=universe&srp_component_id=02.02.02.01&st=product","Sisa 2OPPO A16 RAM 3/32 GARANSI RESMI INDONESIA TERMURAHRp1.655.000Jakarta BaratBORNEO INDONESIA4.9Terjual 250+","https://www.tokopedia.com/borneoindonesia7/oppo-a16-ram-3-32-garansi-resmi-indonesia-termurah-perak?extParam=ivf%3Dfalse%26src%3Dsearch","OPPO A16 RAM 3/32 GARANSI RESMI INDONESIA TERMURAH - Perak","4.9","(231 rating)","Rp1.655.000","Terjual 250+","Baru","500 g","Android OS","null","BORNEO INDONESIA","4.8","Jakarta Barat","https://images.tokopedia.net/img/cache/100-square/VqbcmM/2021/7/22/0b8d81b1-2a56-4d4b-8cb3-6fd46d730c6e.jpg.webp?ect=4g","https://images.tokopedia.net/img/cache/100-square/VqbcmM/2021/7/22/0b8d81b1-2a56-4d4b-8cb3-6fd46d730c6e.jpg.webp?ect=4g","https://images.tokopedia.net/img/cache/100-square/VqbcmM/2021/7/22/0b8d81b1-2a56-4d4b-8cb3-6fd46d730c6e.jpg.webp?ect=4g","https://images.tokopedia.net/img/cache/100-square/VqbcmM/2021/7/22/0b8d81b1-2a56-4d4b-8cb3-6fd46d730c6e.jpg.webp?ect=4g","https://images.tokopedia.net/img/cache/100-square/VqbcmM/2021/7/22/0b8d81b1-2a56-4d4b-8cb3-6fd46d730c6e.jpg.webp?ect=4g"
"1661451307-1100","https://www.tokopedia.com/search?condition=1%232&navsource=home&page=3&q=handphone&rt=4%2C5&source=universe&srp_component_id=02.02.02.01&st=product","OPPO A3S 3/32 GBRp799.00041%Rp1.359.000Jakarta BaratZhufu jian4.8Terjual 1 rb+","https://www.tokopedia.com/zhufujian/oppo-a3s-3-32-gb-hitam-4-64?extParam=ivf%3Dfalse%26src%3Dsearch","OPPO A3S 3/32 GB - Hitam, 4/64","4.8","(644 rating)","Rp799.000","Terjual 1 rb+","Baru","500 g","Android OS","null","Zhufu jian","4.7","Jakarta Barat","https://images.tokopedia.net/img/cache/100-square/VqbcmM/2022/3/10/6d2cee95-2f2d-4886-a4ff-4144d8640147.jpg.webp?ect=4g","https://images.tokopedia.net/img/cache/100-square/VqbcmM/2022/3/10/6d2cee95-2f2d-4886-a4ff-4144d8640147.jpg.webp?ect=4g","https://images.tokopedia.net/img/cache/100-square/VqbcmM/2022/3/10/6d2cee95-2f2d-4886-a4ff-4144d8640147.jpg.webp?ect=4g","https://images.tokopedia.net/img/cache/100-square/VqbcmM/2022/3/10/6d2cee95-2f2d-4886-a4ff-4144d8640147.jpg.webp?ect=4g","https://images.tokopedia.net/img/cache/100-square/VqbcmM/2022/3/10/6d2cee95-2f2d-4886-a4ff-4144d8640147.jpg.webp?ect=4g"
"1661442022-875","https://www.tokopedia.com/search?condition=1%232&navsource=home&page=7&q=handphone&rt=4%2C5&source=universe&srp_component_id=02.02.02.01&st=product","Selalu OSXiaomi Redmi 9A 2/32 GB Garansi ResmiRp1.147.000CashbackJakarta PusatSuper Store5.0Terjual 2 rb+","https://www.tokopedia.com/sinmob/xiaomi-redmi-9a-2-32-gb-garansi-resmi-abu-abu?extParam=ivf%3Dfalse%26src%3Dsearch","Xiaomi Redmi 9A 2/32 GB Garansi Resmi - Abu-abu","5","(334 rating)","Rp1.147.000","Terjual 2 rb+","Baru","425 g","Android OS","null","Super Store","4.9","Jakarta Pusat","https://images.tokopedia.net/img/cache/100-square/VqbcmM/2022/3/25/7d7f9a71-e264-4238-b030-e4b35e036514.jpg.webp?ect=4g","https://images.tokopedia.net/img/cache/100-square/VqbcmM/2022/3/25/7d7f9a71-e264-4238-b030-e4b35e036514.jpg.webp?ect=4g","https://images.tokopedia.net/img/cache/100-square/VqbcmM/2022/3/25/7d7f9a71-e264-4238-b030-e4b35e036514.jpg.webp?ect=4g","https://images.tokopedia.net/img/cache/100-square/VqbcmM/2022/3/25/7d7f9a71-e264-4238-b030-e4b35e036514.jpg.webp?ect=4g","https://images.tokopedia.net/img/cache/100-square/VqbcmM/2022/3/25/7d7f9a71-e264-4238-b030-e4b35e036514.jpg.webp?ect=4g"
"1661441022-805","https://www.tokopedia.com/search?condition=1%232&navsource=home&page=8&q=handphone&rt=4%2C5&source=universe&srp_component_id=02.02.02.01&st=product","Apple Campaign Iphone 7 Plus 32 GB Fullset Second Original 100% Mulus - Like NewRp2.500.000Jakarta UtaraAA Store1684.9Terjual 500+","https://www.tokopedia.com/astore168/iphone-7-plus-32-gb-fullset-second-original-100-mulus-like-new-32gb-batang?extParam=ivf%3Dfalse%26src%3Dsearch","Iphone 7 Plus 32 GB Fullset Second Original 100% Mulus - Like New - 32gb batang","4.9","(214 rating)","Rp2.500.000","Terjual 500+","Bekas","500 g","iOS","null","AA Store168","4.8","Jakarta Utara","https://images.tokopedia.net/img/cache/100-square/VqbcmM/2022/3/23/bf3c1cb2-f2b8-49ab-b5f7-5a0aab669526.jpg.webp?ect=4g","https://images.tokopedia.net/img/cache/100-square/VqbcmM/2022/3/23/bf3c1cb2-f2b8-49ab-b5f7-5a0aab669526.jpg.webp?ect=4g","https://images.tokopedia.net/img/cache/100-square/VqbcmM/2022/3/23/bf3c1cb2-f2b8-49ab-b5f7-5a0aab669526.jpg.webp?ect=4g","https://images.tokopedia.net/img/cache/100-square/VqbcmM/2022/3/23/bf3c1cb2-f2b8-49ab-b5f7-5a0aab669526.jpg.webp?ect=4g","https://images.tokopedia.net/img/cache/100-square/VqbcmM/2022/3/23/bf3c1cb2-f2b8-49ab-b5f7-5a0aab669526.jpg.webp?ect=4g"
"1661439172-615","https://www.tokopedia.com/search?condition=1%232&navsource=home&page=11&q=handphone&rt=4%2C5&source=universe&srp_component_id=02.02.02.01&st=product","Infinix Hot 11 Play 3/32GB - 4/64GB Garansi Resmi 1 TahunRp1.325.000CashbackJakarta UtaraSONIC Gadgets4.9Terjual 250+","https://www.tokopedia.com/sonicgadgets/infinix-hot-11-play-3-32gb-4-64gb-garansi-resmi-1-tahun-biru-3-32?extParam=ivf%3Dfalse%26src%3Dsearch","Infinix Hot 11 Play 3/32GB - 4/64GB Garansi Resmi 1 Tahun - Biru, 3/32","4.9","(83 rating)","Rp1.325.000","Terjual 250+","Baru","400 g","Android OS","null","SONIC Gadgets","4.9","Jakarta Utara","https://images.tokopedia.net/img/cache/100-square/VqbcmM/2021/12/17/cc9ea460-1684-451f-a0bf-87902a961529.jpg.webp?ect=4g","https://images.tokopedia.net/img/cache/100-square/VqbcmM/2021/12/17/cc9ea460-1684-451f-a0bf-87902a961529.jpg.webp?ect=4g","https://images.tokopedia.net/img/cache/100-square/VqbcmM/2021/12/17/cc9ea460-1684-451f-a0bf-87902a961529.jpg.webp?ect=4g","https://images.tokopedia.net/img/cache/100-square/VqbcmM/2021/12/17/cc9ea460-1684-451f-a0bf-87902a961529.jpg.webp?ect=4g","https://images.tokopedia.net/img/cache/100-square/VqbcmM/2021/12/17/cc9ea460-1684-451f-a0bf-87902a961529.jpg.webp?ect=4g"
"1661440261-732","https://www.tokopedia.com/search?condition=1%232&navsource=home&page=9&q=handphone&rt=4%2C5&source=universe&srp_component_id=02.02.02.01&st=product","Super Gadget DayVivo V23e 8/128 (Garansi Resmi)Rp3.399.000Kab. BekasiGood Phonecell5.0Terjual 100+","https://www.tokopedia.com/good-phonecell/vivo-v23e-8-128-garansi-resmi?extParam=ivf%3Dfalse%26src%3Dsearch","Vivo V23e 8/128 (Garansi Resmi)","5","(41 rating)","Rp3.399.000","Terjual 100+","Baru","450 g","Android OS","garansi resmi vivo 1 tahun","Good Phonecell","5.0","Kab. Bekasi","https://images.tokopedia.net/img/cache/100-square/VqbcmM/2022/2/24/7081e68f-8646-4efd-a69d-7546d3107a3a.jpg.webp?ect=4g","https://images.tokopedia.net/img/cache/100-square/VqbcmM/2022/2/24/7081e68f-8646-4efd-a69d-7546d3107a3a.jpg.webp?ect=4g","https://images.tokopedia.net/img/cache/100-square/VqbcmM/2022/2/24/7081e68f-8646-4efd-a69d-7546d3107a3a.jpg.webp?ect=4g","https://images.tokopedia.net/img/cache/100-square/VqbcmM/2022/2/24/7081e68f-8646-4efd-a69d-7546d3107a3a.jpg.webp?ect=4g","https://images.tokopedia.net/img/cache/100-square/VqbcmM/2022/2/24/7081e68f-8646-4efd-a69d-7546d3107a3a.jpg.webp?ect=4g"
"1661436593-388","https://www.tokopedia.com/search?condition=1%232&navsource=home&page=15&q=handphone&rt=4%2C5&source=universe&srp_component_id=02.02.02.01&st=product","OPPO F1S 4/32GB GARANSIRp620.000Jakarta Pusat007shop n chop4.6Terjual 750+","https://www.tokopedia.com/007shop-n/oppo-f1s-4-32gb-garansi-4-64gb?extParam=ivf%3Dfalse%26src%3Dsearch","OPPO F1S 4/32GB GARANSI - 4/64Gb","4.6","(412 rating)","Rp620.000","Terjual 750+","Baru","300 g","Android OS","null","007shop n chop","4.7","Jakarta Pusat","https://images.tokopedia.net/img/cache/100-square/VqbcmM/2021/7/24/fa03c859-05a6-43c0-b66a-1de2d76a21a7.jpg.webp?ect=4g","https://images.tokopedia.net/img/cache/100-square/VqbcmM/2021/7/24/fa03c859-05a6-43c0-b66a-1de2d76a21a7.jpg.webp?ect=4g","https://images.tokopedia.net/img/cache/100-square/VqbcmM/2021/7/24/fa03c859-05a6-43c0-b66a-1de2d76a21a7.jpg.webp?ect=4g","https://images.tokopedia.net/img/cache/100-square/VqbcmM/2021/7/24/fa03c859-05a6-43c0-b66a-1de2d76a21a7.jpg.webp?ect=4g","https://images.tokopedia.net/img/cache/100-square/VqbcmM/2021/7/24/fa03c859-05a6-43c0-b66a-1de2d76a21a7.jpg.webp?ect=4g"
