web-scraper-order,web-scraper-start-url,product,product-href,product_name,product_rating,rating_amount,price,product_sold,condition,unit_weight,category,description,store_name,store_rating,store_location,image_1-src
1661890275-387,https://www.tokopedia.com/search?condition=1%232&navsource=&page=35&q=handphone&rt=4%2C5&sc=24&srp_component_id=02.01.00.00&srp_page_id=&srp_page_title=&st=product,Samsung Galaxy A03 3/32 Garansi Resmi SEINRp1.410.000Jakarta BaratImperialshop884.9Terjual 100+,https://www.tokopedia.com/novenko88/samsung-galaxy-a03-3-32-garansi-resmi-sein?extParam=ivf%3Dfalse%26src%3Dsearch,Samsung Galaxy A03 3/32 Garansi Resmi SEIN,4.9,(38 rating),Rp1.410.000,Terjual 100+,Baru,400 Gram,400 Gram,Garansi Resmi SEIN 1 Thn,Imperialshop88,5.0,Jakarta Barat,https://images.tokopedia.net/img/cache/100-square/VqbcmM/2022/3/10/bca56e00-76cc-4425-8376-94f5553cc9c0.jpg.webp?ect=4g
1661899889-767,https://www.tokopedia.com/search?condition=1%232&navsource=&page=28&q=handphone&rt=4%2C5&sc=24&srp_component_id=02.01.00.00&srp_page_id=&srp_page_title=&st=product,Tokopedia TeknoSamsung Smartwatch Galaxy Fit 2 (Black)Rp1.250.000Jakarta UtaraAbizaren5.0Terjual 100+,https://www.tokopedia.com/abizaren/samsung-smartwatch-galaxy-fit-2-black?extParam=ivf%3Dfalse%26src%3Dsearch,Samsung Smartwatch Galaxy Fit 2 (Black),5.0,(53 rating),Rp1.250.000,Terjual 100+,Baru,500 Gram,500 Gram,"Ready Warna: Black

Better visibility to keep you moving
Galaxy Fit2 helps you keep your rhythm and your style. The beautiful 3D glass accentuates the sleek design, and with its wide 1.1-inch full colour AMOLED display, just a quick glance gives you all the info you need.

Thin design for all-day comfort
At a thickness of just 11.1mm, Galaxy Fit2 is slimmer and more comfortable than the Galaxy Fit. Styled for on-the-go, all-day wear, the unique groove in the strap prevents sweat from gathering. It's truly the ultimate fitness tracker, ready to take your comfort and style to a new level.

Built to fit your active lifestyle
Galaxy Fit2 is built as tough as you are. Water-resistant up to 50m with 5ATM certification, it lets you push yourself through workouts worry-free. Jump right in with confidence.

Up to 21 days of battery to outlast your longest sessions
Up to 15 days of battery with typical usage
Your epic workouts demand the most of you, and you should demand the same from your gear. Galaxy Fit2 can keep you going all day. It's an activity tracker that follows your daytime activities with minimal disruption and even monitors your sleep quality consistently over time all on a single charge.

Bluetooth Version
Bluetooth v5.1
OS FreeRTOS

Display
Technology (Main Display)
AMOLED

Size (Main Display)
1.1"" (27.8mm)
Resolution (Main Display)
126 x 294
Color Depth (Main Display)
16M
Memory
RAM Size (MB)
2 MB
ROM Size (MB)
32 MB
Sensors
Accelerometer,Gyro Sensor,Optical Heart Rate Sensor
Physical specification
Dimension (HxWxD)
46.6 x 18.6 x 11.1 mm
Weight
21 g
Battery
Battery Capacity (mAh, Typical)
159
Typical Usage Time
Up to 15 Days
Low Usage Time
Up to 21 Days",Abizaren,5.0,Jakarta Utara,https://images.tokopedia.net/img/cache/100-square/VqbcmM/2021/12/31/a6069ab8-5cc5-4bd2-8bd0-88047847a680.jpg.webp?ect=3g
1661906406-1006,https://www.tokopedia.com/search?condition=1%232&navsource=&page=24&q=handphone&rt=4%2C5&sc=24&srp_component_id=02.01.00.00&srp_page_id=&srp_page_title=&st=product,VIVO Y15S 3GB/32GBRp1.550.000Kab. BogorDiamondcell bojonggede5.0Terjual 1 rb+,https://www.tokopedia.com/diamondcellbojonggede/vivo-y15s-3gb-32gb-vivo-y15s-32gb?extParam=ivf%3Dfalse%26src%3Dsearch,VIVO Y15S 3GB/32GB - vivo y15s 32gb,5.0,(52 rating),Rp1.550.000,Terjual 1 rb+,Baru,400 Gram,400 Gram,"VIVO Y15S (New produk vivo) RAM 3/32GB WARNA WAVE GREEN & MYSTIC BLUE

Spektifikasi :
Kamera Belakang : 13MP Al Multi Mode, Super Macro 2MP, Bokeh Effect
Kamera Depan : 8MP Al Selfie, All Face Beauty, Pose Master

Ram 3GB
Rom 32GB (up to ITB Micro SD)

Baterai :10W Charging (5V 2A)
5000Mah

Prosesor : Mediatek Helio P35,
Ultra Game Mode, Multi Turbo 3.0

Multi Style Portrait, Bokeh, Selfie Softlight Band, Doc Mode 

Display : 6.51inch"" HD+ Ultra All Screen,
IPS Display

OS : Funtouch 11.1, Android 11 Go",Diamondcell bojonggede,4.9,Kab. Bogor,https://images.tokopedia.net/img/cache/100-square/VqbcmM/2021/11/9/b879eeb5-8b16-4130-9abd-ecaa1e72ddef.jpg.webp?ect=4g
1661830514-147,https://www.tokopedia.com/search?condition=1%232&navsource=&page=39&q=handphone&rt=4%2C5&sc=24&srp_component_id=02.01.00.00&srp_page_id=&srp_page_title=&st=product,Iphone 7 Plus 128GB New Garansi 1 TahunRp3.510.0004%Rp3.650.000Jakarta BaratMax IphoneStore 994.8Terjual 100+,https://www.tokopedia.com/maxstore-99/iphone-7-plus-128gb-new-garansi-1-tahun-red?extParam=ivf%3Dfalse%26src%3Dsearch,Iphone 7 Plus 128GB New Garansi 1 Tahun - RED,4.8,(154 rating),Rp3.510.000,Terjual 100+,Baru,500 g,500 g,"IMEI AMAN TERDAFTAR DI KEMENPERIN , TIDAK AKAN DI BLOKIR YA KAKA :) 

* FREE *
- SOFTCASE TRANSPARAN / BEBAS PILIH MOTIF
- ANTI GORES

*ISI DALAM BOX *
- Unit
- Buku Panduan
- Sticker Apple
- Kabel USB
- Kepala Charger
- Headset

Garansi TOKO 1 TAHUN
ALL OPERATOR
IPHONE KAMI ORIGINAL 100%

KONDISI dan KELENGKAPAN :
+ Kondisi original 100% (bukan replika/imitasi)
+ Mesin : 100% Normal
+ Kondisi Fisik : new 100% Mulus,
+ Mesin 100% bersegel.
+ IMEI dan ICLOUD AMAN
+ Iphone 100% ORIGINAL 

Garansi tidak berlaku (void) jika ditemukan HUMAN ERROR, seperti:
1. Terkena cairan
2. Segel Rusak/Hilang
3. Unit lecet/bekas jatuh
4. Dll human error
5. Icould masih terkunci
6. unit sudah di bongkar 

KETERANGAN
1, Kelengkapan: Komplit Original
2, Garansi Handphone adalah 1 TAHUN, dimulai dari tanggal pengiriman barang.
3, Garansi tidak berlaku bagi kerusakan yang disebabkan oleh kesalahan sendiri seperti kendala masuk air, jatuh, LCD retak, pemakaian kasar atau kerusakan lain
4, Garansi tidak berlaku bagi handphone yang sudah pernah diperbaiki sendiri atau sampai merusak keadaan handphone
5, Garansi LCD adalah 1 TAHUN. Setelah 1 TAHUN, garansi tidak berlaku bagi kendala LCD yang bergaris hitam, retak, atau screen LCD menjadi hitam
6, Ongkos setiap pengiriman barang ditanggung oleh pembeli",Max IphoneStore 99,4.8,Jakarta Barat,https://images.tokopedia.net/img/cache/100-square/VqbcmM/2021/1/11/620d42a0-69d9-4575-868d-11314bac2ced.png.webp?ect=4g
1661865944-318,https://www.tokopedia.com/search?condition=1%232&navsource=&page=36&q=handphone&rt=4%2C5&sc=24&srp_component_id=02.01.00.00&srp_page_id=&srp_page_title=&st=product,Realme 9 Pro 8/128GB 5G Garansi Resmi Not Note 9 8/128GBRp3.563.0005%Rp3.732.000Jakarta PusatOnestop Ponsel4.9Terjual 100+,https://www.tokopedia.com/onestop-ponsel/realme-9-pro-8-128gb-5g-garansi-resmi-not-note-9-8-128gb-6-128-green-non-bundling?extParam=ivf%3Dfalse%26src%3Dsearch,"Realme 9 Pro 8/128GB 5G Garansi Resmi Not Note 9 8/128GB - 6/128 GREEN, NON BUNDLING",4.9,(42 rating),Rp3.563.000,Terjual 100+,Baru,600 Gram,600 Gram,"KETERANGAN BUNDLING

Bundling 1 Oase Hydrogel 
Bundling 2 realme buds neo 2 / ATAU STOK YANG READY
Bundling 3 realme band 2 / ATAU STOK YANG READY
Bundling Lengkap (Hydrogel,realme buds 2 neo, realme band / ATAU STOK YANG READY)


Untuk Produk Xiaomi, Vivo, Realme, Oppo kami repack semua yaa, hanya untuk aktivasi, selebihnya dijamin tidak ada yang ditukar/ganti

Packing yang lebih aman (Opsional, untuk standar packing kami sudah memakai bubble wrap) :
https://www.tokopedia.com/onestop-ponsel/packing-box-ekstra-bubble-wrap

Untuk ketersediaan warna bisa dicek dibagian varian ya

Kenapa Wajib Beli di Onestop Ponsel?
- Cashback disetiap pembelian hingga 400rb
- Fast Shipping
- Free Ongkos Kirim
- Free Asuransi Pengiriman
- Trusted ( Tidak Perlu diragukan lagi karena kami Official Store)

PRODUK YANG DIJUAL DI SINI
* Garansi Resmi 1 Tahun
* UNIT 100% BARU, BUKAN REFUBISH ATAU SECOND
* Produk dan Aksesoris 100% ORIGINAL
* Good Service, Great After Sales
* GARANSI Bisa claim di seluruh service center resmi Indonesia
* Kredit Tanpa Kartu Kredit Bisa Menggunakan KREDIVO, AKULAKU , HOME KREDIT",Onestop Ponsel,4.8,Jakarta Pusat,https://images.tokopedia.net/img/cache/100-square/VqbcmM/2022/3/3/ce35ebff-10cd-433b-87d9-03ecbbfd9285.png.webp?ect=4g
1661788123-72,https://www.tokopedia.com/search?condition=1%232&navsource=&page=40&q=handphone&rt=4%2C5&sc=24&srp_component_id=02.01.00.00&srp_page_id=&srp_page_title=&st=product,Harga SpesialInfinix Hot 12i 4/64 GB Garansi ResmiRp1.482.00013%Rp1.699.000Jakarta PusatPS.ONLINE OFFICIAL STORE4.9Terjual 500+,https://www.tokopedia.com/psonlineofficialstore/infinix-hot-12i-4-64-gb-garansi-resmi-fs-random?extParam=ivf%3Dfalse%26src%3Dsearch,Infinix Hot 12i 4/64 GB Garansi Resmi - FS-RANDOM,4.9,(76 rating),Rp1.482.000,Terjual 500+,Baru,500 g,500 g,"SIM Dual SIM (Nano-SIM, dual stand-by)
Size 6.6 inches, 104.6 cm2 (~83.1% screen-to-body ratio)
PLATFORM OS Android 11, XOS 7.6
Chipset Mediatek MT6761 Helio A22 (12 nm)
CPU Quad-core 2.0 GHz Cortex-A53
GPU PowerVR GE8320
MEMORY Card slot microSDXC (dedicated slot)
Internal 64GB 4GB RAM
MAIN CAMERA Triple 13 MP, f/1.8, (wide), AF
QVGA
QVGA
Features Dual-LED flash
Video 1080p@30fps
SELFIE CAMERA Single 8 MP
Features LED flash
Video 1080p@30fps
BATTERY Type Li-Ion 5000 mAh, non-removable",PS.ONLINE OFFICIAL STORE,4.8,Jakarta Pusat,https://images.tokopedia.net/img/cache/100-square/VqbcmM/2022/7/1/d31de4cd-ad44-4992-9092-090d4630e7c1.jpg.webp?ect=4g
1661925320-1031,https://www.tokopedia.com/search?condition=1%232&navsource=&page=24&q=handphone&rt=4%2C5&sc=24&srp_component_id=02.01.00.00&srp_page_id=&srp_page_title=&st=product,WIBInfinix Hot 12 Play 4/64 4/128 RAM 4 ROM 64 128 GB 4GB 64GB 128GBRp1.518.00013%Rp1.749.000Jakarta PusatSUPER_GADGET5.0Terjual 100+,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_ya6_eFH_eRbm-xgVY789CBUsthbm-FQRo2PcB5QiUEH_UDUSz2Q31i6sJfosJNHAyF6AHDUMoFyaUEoAnFbm-xgVYpyfYagZUEHprNbsnRH_JfopKFoAKfH_1DUSHp9fh5gaUEUMuNZM2jZJ2M33NGPMep_Mh-qMY2_9j7HjN1gpVo8Bjh_7zu8jNku_z6uJ7FZ3BRqujp1SByH7ND3uxGqMVAZ_g-qjuE_c2SoJYJgpzvzcr7_7zSoJYJgpu-q9P2y_-3o3ea69BqzsBE3_UN8u2_Z_g-qjV2_JoGP3Uao32q17jfZ3OVHuBkgchqu7g0_VzuHjYIz9z6zVjF_BHFoujau92HucWR3BzSHB2IZ_uvzOBE_3B-r7BW69BxufzFyMFNqO2yeMgxuOV2_fB-P7B2PfBiH72F3s-DPuKpeSBiHBUh3_oZgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Ao6QfUpeMgxuOV2_fB-P7B2PfBs3VgDyfNDgMzIzMNs81jfZ3N6Hc-y8AxgHjB2_JoG8Bja69BqusB2yf7NHfHau3Bvq1BE_1zzP1OJu_-ouJJO_92sHJN1gpo681BpZ3N6qMUpZMhyH7ND3uxGqMVAZ_g-qj7p_OH7P7NEz9x6qMH7_1zzoJNkz_V-QsnYUiFiP9oBrBY2gmUEUsnibm-pg9opq3YX9fBjUsti8BYMq1epqmOS6cjpgJVu8cuZufWvg12qrMxHZ1zRy7V7ujVSZ7zXQpo1yRPUzRJpoSPv1ICbzuzJzfumHM-Ju7DW3sg3QczWP_oqH9JRguBwoOuM69usoVohrBY_u1Nh_czsrcuHzuoxQMVVgIJR_3jNHB-pP7WCquYszJVGP1Uibm-xQcri6i-pPc7ibm-XP3Oig9-wQfgwy3zpUstaHmFiQSuWyMua9fVjrOYag9Ji6sUFbm-sy9zwq3zpUs2Qos1DHseDHpnOoV7DUMNwyfVXgcBjy9zB9fVjraUEH_HNbm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstiyRCs9RotQRCwP3NhUiFiPMuarfB5QiUEUSyaUiFiyfhOrRzBrBY2gVYfHiUEoAjdo_jDUSCaq3oB9f-2gmUEoAnFbm-SQfVD9fBjUstabm-Mq3NxQVYag3hay3N09fVjrfo5rM1i6srhHidh6_eNHAJpo_edoAJNbm-hP3ua8uYag3hay3N09RosQR-BUstFbsKR6Ard6_eaoAKNosU7HA-Y?ob=23&dv=desktop&src=search&management_type=1&t=desktop&keywords=handphone&r=https%3A%2F%2Fwww.tokopedia.com%2Fsupergadgettt%2Finfinix-hot-12-play-4-64-4-128-ram-4-rom-64-128-gb-4gb-64gb-128gb-black-4-64gb%3FextParam%3Divf%253Dfalse%26src%3Dtopads&is_search=1&page=24,"Infinix Hot 12 Play 4/64 4/128 RAM 4 ROM 64 128 GB 4GB 64GB 128GB - Black,4/64GB",5.0,(49 rating),Rp1.518.000,Terjual 100+,Baru,300 Gram,300 Gram,"Spesifikasi :

- Size: 6.82'' Inch
- Type: IPS
- Resolution: 720x1640
- Material: TFT
- Front Camera: 8MP
- Rear Camera: 13MP + AI Lens

- ROM: 128GB
- RAM: 4GB
- Battery Capacity: 6000mAh
- Talk Time: 20 Hours
- Standby Time: 30 Days
- SIM CARD SLOT: DUAL NANO SIM+MICRO SD
- GPS NAVIGATION: YES
- WIFI(WLAN): IEEE 802.11 a/b/g/n/ac
- BLUETOOTH: YES
- USB PORT: YES
- OTG: YES
- EARPHONE: YES, 3.5 JACK
- CHARGE Output: 5V-2A
- FM: YES
- Dimension: 171x78x8.9mm",SUPER_GADGET,4.9,Jakarta Pusat,https://images.tokopedia.net/img/cache/100-square/VqbcmM/2022/8/1/4a8c7615-77a2-4383-aede-ab8ef136934d.jpg.webp?ect=4g
1661895215-585,https://www.tokopedia.com/search?condition=1%232&navsource=&page=32&q=handphone&rt=4%2C5&sc=24&srp_component_id=02.01.00.00&srp_page_id=&srp_page_title=&st=product,Oppo A16 4/64GB Garansi Resmi OPPORp2.129.000Jakarta Utaratoko oppostore4.9Terjual 100+,https://www.tokopedia.com/085287378997/oppo-a16-4-64gb-garansi-resmi-oppo-silver?extParam=ivf%3Dfalse%26src%3Dsearch,Oppo A16 4/64GB Garansi Resmi OPPO - Silver,4.9,(73 rating),Rp2.129.000,Terjual 100+,Baru,500 Gram,500 Gram,"OPPO A16 4/64GB

Warna: Space Silver | Pearl Blue

Baterai 5000mAh Tahan Lama
Layar HD+ Eye Care
Tiga Kamera AI

Spesisfikasi : 
CPU: MediaTek Helio G35
Kecepatan CPU: hingga 2.3GHz
GPU: IMG GE8320 @ 680 MHz
Dimensi: 163.8 x 75.6 x 8.4mm
Berat: 190g
RAM: 64 GB
ROM: 4 GB
Versi USB: USB 2.0
Ukuran: 6,52"" (16,55 cm)
Rasio Layar: 88,7%
Resolusi: 720x1600 (HD+)

Kamera Belakang : 13+2+2 MP
Kamera Depan : 8MP
Baterai : 5000 mAh
Biometrik : Mendukung Buka Sidik Jari Sisi Samping dan Buka Kunci Wajah

Video Belakang:
Kamera belakang: hingga 1080P@30 fps, dan 720P@30 fps
Zoom video: 1080P @ 30 fps

Konektivitas : 
WLAN: Wi-Fi 2,4 GHz, Wi-Fi 5 GHz, Tampilan Wi-Fi
Versi Bluetooth: Bluetooth 5.0
Antarmuka USB: USB Tipe C

Jaringan Seluler : 2G/3G/4G

In The Box :
OPPO A16 x1
Kabel USB x 1
Pengisi daya x1
Alat SIM Ejector x1
Casing Pelindung x1
Panduan memulai cepat x 1
Kartu Garansi x1",toko oppostore,4.9,Jakarta Utara,https://images.tokopedia.net/img/cache/100-square/VqbcmM/2022/3/3/57e26073-0a53-429b-be0a-827c399ffaab.jpg.webp?ect=4g
1661906380-1005,https://www.tokopedia.com/search?condition=1%232&navsource=&page=24&q=handphone&rt=4%2C5&sc=24&srp_component_id=02.01.00.00&srp_page_id=&srp_page_title=&st=product,WIB(IBOX) iPhone 13 Pro 128GB 256GB 512GB 1TB Sierra Blue Graphite GoldRp17.199.000CashbackJakarta PusatPutra Group5.0Terjual 250+,https://www.tokopedia.com/putragroup/ibox-iphone-13-pro-128gb-256gb-512gb-1tb-sierra-blue-graphite-gold-ibox-128gb-gold?extParam=ivf%3Dfalse%26src%3Dsearch,"(IBOX) iPhone 13 Pro 128GB 256GB 512GB 1TB Sierra Blue Graphite Gold - IBOX 128GB, Gold",5.0,(236 rating),Rp17.199.000,Terjual 250+,Baru,500 Gram,500 Gram,"READY STOCK & SIAP KIRIM

Iphone 13 Pro
Layar : 6.1 inch 
Memori : 128 GB - 256 GB - 512 GB - 1 TB
Warna : Sierra Blue - Graphite - Silver - Gold

- Garansi Resmi Apple Indonesia 1 Tahun (TAM / IBOX / DIGIMAP)
- Imei terdaftar di kemenperin
- BNIB (Brand New In Box)
- Di Dalam box: Unit iPhone + USB-C to Lightning Cable
- Mohon membaca catatan toko sebelum membeli

Baca ulasan2 pembeli lain nya biar kalian yakin belanja disini :
https://www.tokopedia.com/putragroup/review

Sekilas info Putra Group :

1. Positif review 99 % dr 100 % kepuasan customer
2. Sudah melayani 15,000 ++ customer secara online
3. Garansi Resmi Apple 1 Tahun
4. Brand new - Original - Segel
5. After sales yg siap melayani anda selama 24 jam

Apple 20W USB Fast Charger- C Power Adapter
https://www.tokopedia.com/putragroup/original-apple-20w-20-w-fast-charging-usb-c-power-adapter-segel

Benks Anti Spy Tempered Glass
https://www.tokopedia.com/putragroup/original-benks-anti-spy-iphone-13-pro-max-13-pro-tempered-glass

Benks Premium Tempered Glass
https://www.tokopedia.com/putragroup/original-benks-king-kong-iphone-13-pro-max-13-pro-tempered-glass-13-13-pro

Benks Premium Clear Case Magsafe
https://www.tokopedia.com/putragroup/original-benks-iphone-13-pro-max-13-pro-clear-case-support-magsafe-13-pro-max

Benks Camera Protector
https://www.tokopedia.com/putragroup/original-benks-camera-protector-for-iphone-13-pro-max-13-pro-13-pro

Benks Metal Lens
https://www.tokopedia.com/putragroup/original-benks-metal-lens-camera-protector-iphone-13-pro-max-13-pro

MagSafe Wireless Charger
https://www.tokopedia.com/putragroup/apple-magsafe-charger-20w-wireless-charging-mag-safe-for-iphone-12

Other Apple Acc
https://www.tokopedia.com/putragroup/etalase/other-apple-acc",Putra Group,5.0,Jakarta Pusat,https://images.tokopedia.net/img/cache/100-square/VqbcmM/2022/3/19/6276e60f-c076-4dc2-91be-f05e81af1434.jpg.webp?ect=4g
1661906329-1003,https://www.tokopedia.com/search?condition=1%232&navsource=&page=24&q=handphone&rt=4%2C5&sc=24&srp_component_id=02.01.00.00&srp_page_id=&srp_page_title=&st=product,Tokopedia TeknoHandphone HP OPPO A37 & A57 Murah Garansi 16 32 64 GB Segel BaruRp599.000Jakarta Pusatkino phone cell4.7Terjual 250+,https://www.tokopedia.com/hp-android-ios/handphone-hp-oppo-a37-a57-murah-garansi-16-32-64-gb-segel-baru-oppo-a57-3-32-gold?extParam=ivf%3Dfalse%26src%3Dsearch,"Handphone HP OPPO A37 & A57 Murah Garansi 16 32 64 GB Segel Baru - OPPO A57 3/32, GOLD",4.7,(212 rating),Rp599.000,Terjual 250+,Baru,300 Gram,300 Gram,"(Baca Sampai Selesai)

Selamat datang di Kino Phone Cell
Dapatkan Cashback, Kode Voucer Bisa cek diStory Highlight iG kinophonecell.id

*Sinyal ALL Oprator GARANSI SINYAL ON SELAMANYA
*Profesional Telah Berjualan Sejak Tahun 2008 & Online Shop Sejak 2015
*Kami Pasti Quality Check Sebelum Mengirimkan Pesanan

Wellcome Dropshiper Dan Reseller “Follow” iG & DM untuk mendapat update Voucer Dan harga Terbaru

>Pertanyaan yg Sering Ditanyakan : kinophonecell.id
- Sinyal ? : Bisa all Oprator, Garansi Selamanya 
- Ready ? : ada Bisa langsung pesan 
- Normal ? : Siap pakai Normal
- Garansi ? : ada Garansi Toko & Ecomerse

>Jadwal Pengiriman : Expedisi
- Senin - Sabtu ( JNT – JNE ) Max Order 17.00 WIB
- Minggu ( JNT ) Max Order 14.00 WIB

>Kondisi HP
- Produk Ori Bukan Rekondisi
- Dus Bersegel Rapi
- ROM Global
- Playstore Tersedia
- Bahasa Indo Tersedia
- Jaringan 4G Lte
- Sinyal all Oprator
- Bergarnasi

>Kelengkapan
- Box
- Charger
- Kabel
- Panduan
“Tidak termasuk Headset, mmg bawaan kelengkapan begitu”
”Tidak termasuk Kartu Garansi (Garansi Zaman Now Data Melalui iMEi)

>Ketentuan GARANSI
-Wajib Segel Garansi Utuh Tidak Rusak / Lepas
-Jangan Terkena Air
-Jangan Terjatuh : Retak , Pecah
-Jangan Dibongkar / Service Sendiri
-Tidak Lock Layar (Hapus Sebelum Retur)
-Ongkir Retur ditanggung Pembeli

*Mohon Tidak Bad Review = Garansi Hangus. Mari saling mendukung transaksi & tidak saling merugikan. Retur Pasti diproses hingga selesai. 
*Saat Produk sampai : Test Fungsi Keseluruhan Sebelum Selesaikan Transaksi
*Bila Temukan Kendala : Klik Sistem returnya pilih Komplain / Pengembalian
*Pastikan Lalukan Vidio Unboxing Tanpa jeda Sebagai bukti kekurangan isi pesanan

Dapatkan Cashback, Kode Voucer Bisa cek DiStory Highlight kinophonecell. id
  .
(lG): kinophonecell id


“Follow” iG & DM untuk mendapat update Voucer Dan harga Terbaru
Terimakasih Sudah mampir",kino phone cell,4.6,Jakarta Pusat,https://images.tokopedia.net/img/cache/100-square/VqbcmM/2022/4/22/e387bbbc-cd93-442f-8ccf-3a0d3e2ce35d.jpg.webp?ect=4g
