web-scraper-order,web-scraper-start-url,product,product-href,product_name,product_rating,rating_amount,price,product_sold,condition,unit_weight,category,store_name,store_rating,store_location,description,image_1-src
"1661945582-1479","https://www.tokopedia.com/search?page=2&q=macbook&rt=4%2C5&source=universe&srp_component_id=02.02.01.01&st=product","Tokopedia TeknoNew Macbook Air M2 Chip 2022 13 inch 256GB/512GB Midnight IBOXRp17.629.000Jakarta Baratapplewatchstuff5.0Terjual 100+","https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_1O6ArF6_npbm-xgVY789CBUsthbm-FQRo2PcB5QiUEoZFiPcBWgZUEH_yfH_j7o_HRHZFiyRCsUstfHAnDUMVj9RosQR-BUstp6AUXopeRosJdH_HNo_U7osyDUSHp9fh5gaUEUMuNZM2jZJ2M33NGPMep_Mh-qMY2_uH7H7Ok19xo8MHO_92VP7OE1_CvzJjpZ3BRqujp1SByH7ND3uxGqMVAZ_g-qBuO_7zS81OEu9BvuVVd_uzsHjNJyfBHe72a3BxDHfUpZMWyH7NkysoGQJBkQfBoe7BpZ37OPM-W_Mh-qMY2_1zgP7YIZ_ogqjV7_32oHJONHACouJ2t_VP-HuB1qRzoucHF_uPoHjO9ZM2qqMHaZ3BRq3UpZSCqHMhO3A-ZQcoc69Cqe7jfZ32Cq1hAZSgsQ3hXyurOgMoUZSgqZVgkgJyNrV2AZ_g-qjV2_JoGPMoWQcNxupuMyp-tPMoc69Cqe7jfZ32Cq1hAZSxjuOgNguyNHVB9gI2-qMY2yjzGgjOEgpC6ZIKdypoZPcgU8IoouRxfgAod6VjaZ3BHe72E3_UN8u2363BsQ_jpyp-uq1Y2Z92o8MPO_Bzs8JN1yRP6qB17_S2-H1O_Z9o-QjNkysoGQVKp_Mhg3J2ky1o-ojBk__zoq_ep_jzsHjO1gRxo8MDh_32zHjN2Zsjibm-Orfua9fBjUstiHmUDUSoBrRo2QfNwq3ei6i-5zRyF8B2S1OUhQJKhQIedy71FQMuv1Suvu1JWo_nFyseRZ7zsHuuGH9ge3JVqr7WwgjubrOJhq7hpQ1BFZiO0u7OmQpPEQSu2oM47_fPs_InaeBUdqjPigMgW_9-wHV-0o7B21RPGPVzXqpze1fYXeRPo_u-hzMhAepoVe9HR1aUDUMVDgaUEUSo7QuYDHBYDHZUDUMNOQ3-BrBY5gBYxgIHi6sUFbm-XP3Oig9-wy3zp9R-BrZUEHsnDUMoxPVY2gIHi6BDa6_rDHpK7omFp6_Ka9ZFiQBYsy3Njq3zxPcuwy3zpUsthHpnDUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-srcowrfx5rVYOQSJibm-fg9-pq3YXUstiPsUibm-sQIupPcua9fBj9RyaUstaHpJNoiFiyfV7g3P5rSBwrRuSgfupPVYxPIzaq3-OPc1i6BDiHpK7om-Pbm-FrMBsguYiq3ei6syFHmFigfYxQVY2gmUEHiFigMBXy3hwrMuDrMVXqOYxgIosQR-BUstfopjX6_jNosKOopJd6A1p6ZFir9uBrSBwrMuDrMVXqOYpyfYagZUEHmdRopyfHsydHs1pHpUfoAJfwe?keywords=macbook&management_type=1&page=2&dv=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Fapplewatchstuff%2Fnew-macbook-air-m2-chip-2022-13-inch-256gb-512gb-midnight-ibox-256-inter-silver%3FextParam%3Divf%253Dfalse%26src%3Dtopads&src=search&ob=23&t=desktop&is_search=1","New Macbook Air M2 Chip 2022 13 inch 256GB/512GB Midnight IBOX - 256 INTER, Silver","5","(86 rating)","Rp17.749.000","Terjual 100+","Baru","2,8 kg","Laptop Consumer","applewatchstuff","4.9","Jakarta Barat","READY STOCK!!!

BONUS:
2 Software

Untuk bonus dikirimkan selama stock persediaan masih ada (tidak terima komplain terkait bonus)

BNIB (Brand New In Box)
100% Original Apple

Available Colors :
- Midnight Dark
- Starlight
- Space Grey
- Silver

M2 Chip
8 Core CPU
8 Core GPU
RAM 8GB Unified Memory
256GB / 512GB SSD Storage

In The Box :
MacBook Air with M2 chip
USB-C to MagSafe 3 Cable (2m)
USB-C Power Adapter

Garansi Toko 7x24jam (wajib mencantumkan video unboxing sampai pengecekan unit)
Garansi Unit 1 Tahun Apple International (bisa dibantu claim)

Perbedaan varian IBOX dan INTER :
Untuk Varian IBOX
* unit garansi ibox, bisa di claim di ibox seluruh indonesia
* adapter kaki 2 (seperti colokan di indonesia)

Untuk Varian INTER
* unit garansi apple international (untuk claim bisa di claim di qcd atau mitra care indonesia, garansi bisa dibantu claim oleh tim after sales applewatchstuff)
* adapter bawaan kaki 2 pipih atau kaki 3 (sesuai dengan region unitnya dari negara mana)

UNTUK KETENTUAN REGION DIKIRIM RANDOM TERGANTUNG PERSEDIAAN STOCK","https://images.tokopedia.net/img/cache/100-square/VqbcmM/2022/8/20/ab0dc68f-2e24-46d4-ab3e-efb41989d59f.jpg.webp?ect=4g"
"1661939003-1158","https://www.tokopedia.com/search?page=7&q=macbook&rt=4%2C5&source=universe&srp_component_id=02.02.01.01&st=product","Macbook Pro 13"" Coustome M1 8C CPU 8C GPU/16GB/256GB GreyRp25.320.000Jakarta PusatStore Apple ID5.0Terjual 7","https://www.tokopedia.com/storeappleid/macbook-pro-13-coustome-m1-8c-cpu-8c-gpu-16gb-256gb-grey?extParam=ivf%3Dfalse%26src%3Dsearch","Macbook Pro 13"" Coustome M1 8C CPU 8C GPU/16GB/256GB Grey","5","(5 rating)","Rp25.320.000","Terjual 7","Baru","3,5 kg","Laptop Consumer","Store Apple ID","5.0","Jakarta Pusat","Free Install Office 2019 dan Adobe,jika mau diinstall ,Unit Buka Segel dan kita Unboxing sebelom dikirim.
jika tidak mau di install dari kita boleh beli tambahan paket software for mac flasdisk 32GB Rp.150.000,- Dan yang OTG Rp.170.000,-
Jika Kurang Paham Boleh Tanya Lebih Lanjut melalui chat ,thank you .



Macbook Pro 13.3"" Coustome
Space Gray

M1 8core CPU 8Core GPU

16GB

256GB

Touch Bar","https://images.tokopedia.net/img/cache/100-square/VqbcmM/2022/3/10/7df12af8-4bfc-455e-a321-7016e8c8c42b.jpg.webp?ect=4g"
"1661934767-1016","https://www.tokopedia.com/search?page=9&q=macbook&rt=4%2C5&source=universe&srp_component_id=02.02.01.01&st=product","Macbook Air i5 SSD 256GB Ram 8GB 13 inc 2014 MD761 Bkn 2015 2017Rp4.650.000CashbackTangerang Selatanjakartalaptopcenter5.0Terjual 3","https://www.tokopedia.com/el-risar25/macbook-air-i5-ssd-256gb-ram-8gb-13-inc-2014-md761-bkn-2015-2017-128-gb?extParam=ivf%3Dfalse%26src%3Dsearch","Macbook Air i5 SSD 256GB Ram 8GB 13 inc 2014 MD761 Bkn 2015 2017 - 128 gb","5","(2 rating)","Rp4.650.000","Terjual 3","Bekas","3.000 Gram","Laptop Consumer","jakartalaptopcenter","4.9","Kota Tangerang Selatan","1013. Bandingkan sebelum membeli, selalu ada harga ada kualitas yah.
Barang langka, seri CTO BTO punya yah gan, kalo biasa seri Air 13 inch Ram hanya 4GB yang ini sudah 8GB loh, tau sendiri seri air gak bisa upgrade Ram manual karna onboard.
Seri paling laris yang masih menyala logonya dan masih pakai usb umum kita pakai yah bukan tipe C.
Enaknya lagi sudah banyak bonus seperti Adobe photoshop, iluslator, premier dan office 2019,lumayan kalo instal di toko2 bisa 200* ribuan tapi ini free.
.
Macbook Air 13 inch 2014 Core i5 Ram 8GB SSD 128GB
.
+ Spesifikasi
- Prosesor Intel Core i5 1,3Ghz with turbo boost 2,5Ghz Nggak lelet.
- Vga Intel Hd graphics 5000 1.5GB
- Ram 8GB
- SSD 128GB tersedia variant 256GB / 512GB
- Mac OS catalina
- keyboard backlite menyala
- layar 13 inch ada ws Samar bekas pakaian seqond saja
- batrai original Cycle count masih 621 status normal.
- full Capacity Carging Tembus 6300 maH.
- Batrai Awet -+ 4-5 jam bisa lebih tergantung pemakaian.
.
+ Kelengkapan
- Unit Macbook
- include baterai
- Adaptor / Magsave
- Bonus hardcase seharga - + 250.000*
.
+ Bonus Aplikasi
- Adobe After efec
- Adobe photoshop
- Adobe Premier
- Adobe iluslator
- Microsoft Office 2019
.
+ Kondisi
- kondisi fisik -+ 90%, selebihnya Dent Bekas Pemakaian normal Seqond, foto real terlampir bukan editan. Dan dapat bonus hardcase juga yah.
- Dan sudah Mengunakan tambahan wifi tp link portable jadi signal lebih stabil. Karna wifi bawaanya kurang stabil
- Performa 100% Work siap pakai.
- Mesin belum pernah saya bongkar apalagi service.
- Lokasi Pondok aren bintaro.
- Bisa Cod ke lokasi langsung.
.
Nb:
- Foto Real Terlampir, jadi yang di lihat yang di dapat.
- Gojek dan jne sebelum jam 7 malam agar bisa dikirim hari yang sama. Kurir sicepat bisa sampai jam 8 malam*","https://images.tokopedia.net/img/cache/100-square/VqbcmM/2022/8/30/17fe9985-d4ad-4800-bca8-ea604142581c.jpg.webp?ect=4g"
"1661940717-1218","https://www.tokopedia.com/search?page=6&q=macbook&rt=4%2C5&source=universe&srp_component_id=02.02.01.01&st=product","Apple Macbook Pro 2020 M1 Chip 512GB SSD MYD92 MYDC2Rp18.799.000CashbackJakarta UtaraALIENWARE OFFICIAL ID4.5Terjual 10","https://www.tokopedia.com/alienware-id/apple-macbook-pro-2020-m1-chip-512gb-ssd-myd92-mydc2-grey-256-unit?extParam=ivf%3Dfalse%26src%3Dsearch","Apple Macbook Pro 2020 M1 Chip 512GB SSD MYD92 MYDC2 - Grey 256, Unit","4.5","(6 rating)","Rp18.799.000","Terjual 10","Baru","4 kg","Laptop Consumer","ALIENWARE OFFICIAL ID","4.7","Jakarta Utara","Garansi resmi apple indonesia 1 tahun

IBOX MYDA2ID APPLE MACBOOK PRO 13 M1 8C CPU 8GB 256SSD 8C GPU OS X 13.3 SLV
IBOX MYDC2ID APPLE MACBOOK PRO 13 M1 8C CPU 8GB 512SSD 8C GPU OS X 13.3 SLV

SPESIFIKASI :
- Apple M1 chip with 8-core CPU and 8-core GPU
- 16-core Neural Engine
- 8GB unified memory
- 256GB / 512GB SSD storage
- 13-inch Retina display with True Tone
- Backlit Magic Keyboard - US English
- Touch Bar and Touch ID
- Two Thunderbolt / USB 4 ports","https://images.tokopedia.net/img/cache/100-square/VqbcmM/2022/3/31/80b045e8-1413-4d32-a6f9-1690762291d0.png.webp?ect=4g"
"1661934807-1020","https://www.tokopedia.com/search?page=9&q=macbook&rt=4%2C5&source=universe&srp_component_id=02.02.01.01&st=product","New Macbook Air M2 Chip 2022 13 inch 8 Core CPU 8 Core GPU 8GB/256GBRp18.249.000Jakarta Baratapplewatchstuff5.0Terjual 10","https://www.tokopedia.com/applewatchstuff/new-macbook-air-m2-chip-2022-13-inch-8-core-cpu-8-core-gpu-8gb-256gb-midnight-dark?extParam=ivf%3Dfalse%26src%3Dsearch","New Macbook Air M2 Chip 2022 13 inch 8 Core CPU 8 Core GPU 8GB/256GB - Midnight Dark","5","(7 rating)","Rp18.249.000","Terjual 10","Baru","2.500 Gram","Laptop Consumer","applewatchstuff","4.9","Jakarta Barat","READY STOCK!

BONUS:
2 Software

Untuk bonus dikirimkan selama stock persediaan masih ada (tidak terima komplain terkait bonus)

BNIB (Brand New In Box)
100% Original Apple

Garansi Toko 7x24jam (wajib mencantumkan video unboxing sampai pengecekan unit)
Garansi Unit 1 Tahun Apple International (bisa dibantu claim)

Available Colors :
- Midnight Dark
- Starlight
- Space Grey 
- Silver

M2 Chip
8 Core CPU
8 Core GPU
RAM 8GB Unified Memory
256GB SSD Storage

16 core neural network engine
13.6-inch Liquid Retina display in original color
1080p FaceTime HD camera
MagSafe 3 charging port
Two Thunderbolt / USB 4 ports
Subtle keyboard with Touch ID
Force Touchpad
30W USB-C Power Adapter

In The Box :
MacBook Air with M2 chip
USB-C to MagSafe 3 Cable (2m)
USB-C Power Adapter","https://images.tokopedia.net/img/cache/100-square/VqbcmM/2022/8/22/b85f0ffa-1eaa-45bb-8804-c326e15e79cc.jpg.webp?ect=4g"
"1661943323-1339","https://www.tokopedia.com/search?page=4&q=macbook&rt=4%2C5&source=universe&srp_component_id=02.02.01.01&st=product","MacBook Air 2020 13 Inch 8/256 Second FullsetRp11.800.000Jakarta Barattokosaya245.0Terjual 3","https://www.tokopedia.com/tokosaya24/macbook-air-2020-13-inch-8-256-second-fullset?extParam=ivf%3Dfalse%26src%3Dsearch","MacBook Air 2020 13 Inch 8/256 Second Fullset","5","(1 rating)","Rp11.800.000","Terjual 3","Bekas","3 kg","Ultrabook","tokosaya24","4.7","Jakarta Barat","MacBook Air 2020 13 Inch 8/256 Second

Kondisi :
- Layar, speaker, mesin, baterai aman 100%
- Kelengkapan fullset
- Mulus 98%
- Cc rendah

MOHON UNTUK MEMILIH ASURANSI PENGIRIMAN, KARENA PENJUAL TIDAK BERTANGGUNG JAWAB APABILA ADA KERUSAKAN ATAU KEHILANGAN BARANG SELAMA PENGIRIMAN

UNTUK SEMUA BARANG YANG DITERIMA WAJIB DIVIDEOKAN UNBOXINGNYA. BILA TIDAK ADA VIDEO UNBOXING, KAMI TIDAK MENERIMA KOMPLAIN DALAM BENTUK APAPUN","https://images.tokopedia.net/img/cache/100-square/VqbcmM/2022/3/30/e53fec3d-3dbf-4ba9-8d8d-2337e5bad925.jpg.webp?ect=4g"
"1661940644-1213","https://www.tokopedia.com/search?page=6&q=macbook&rt=4%2C5&source=universe&srp_component_id=02.02.01.01&st=product","MegaElectrodealsMacbook Air 2020 13 Inch 1.1GHz DualCore i5 512 SSD Touch ID MVH22Rp14.445.000Jakarta PusatDigital Authorized4.7Terjual 22","https://www.tokopedia.com/digitalauthorized/macbook-air-2020-13-inch-1-1ghz-dualcore-i5-512-ssd-touch-id-mvh22-inter-gold?extParam=ivf%3Dfalse%26src%3Dsearch","Macbook Air 2020 13 Inch 1.1GHz DualCore i5 512 SSD Touch ID MVH22 - INTER GOLD","4.7","(17 rating)","Rp14.445.000","Terjual 22","Baru","3 kg","Laptop Consumer","Digital Authorized","4.9","Jakarta Pusat","BUDAYA KAN MEMBACA SEBELUM MEMBELI

VARIAN :
- Space Grey
- Silver
- Gold

Macbook Air 2020 Intel 256GB 
https://www.tokopedia.com/digitalauthorized/apple-macbook-air-2020-13-inch-1-1ghz-dual-core-i3-256gb-ssd-touch-id

PAKET SOFTWARE KHUSUS IOS MACBOOK
https://www.tokopedia.com/digitalauthorized/usb-32gb-paket-software-khusus-macbook-ios

MACBOOK Air 2020 Intel Refurbish resmi apple
SPESIFIKASI :
- Retina display 13.3-inch (diagonal) LED-backlit display with IPS technology
- Touch ID sensor
- 1.1GHz quad-core Intel Core i5, Turbo Boost up to 3.5GHz, with 6MB L3 cache
- 512GB PCIe-based SSD /256GB
- Memory 8GB of 3733MHz LPDDR4X onboard memory
- 30W USB-C Power Adapter; USB-C power port
- Intel Iris Plus Graphics
- Camera 720p FaceTime HD camera
- Two Thunderbolt 3 (USB-C) ports with support for: Charging, DisplayPort ,
 Thunderbolt (up to 40Gb/s), USB 3.1 Gen 2 (up to 10Gb/s)

DIKARENAKAN UNIT INI TYPE SUDAH LAMA
SEMUA UNIT RATA2 GARASNI SUDAH ON
TOKO AKAN MEMBANTU COVER GARASNI SELAMA 1 TAHUN

MEMBAYAR = SETUJU

KEUNGGULAN BELANJA DITOKO KAMI
1. GARANSI APPLE 1 TAHUN BISA CLAIM DI INDONESIA
2. HARGA TERMURAH SE-INDOENSIA
3. KUALITAS BARANG TERJAMIN ORIGINAL
4. MEMPUNYAI TOKO FISIK HANYA UNTUK MEMBANTU KLAIM GARANSI
5. ORDER MASUK LANGSUNG KIRIM DIHARI YANG SAMA","https://images.tokopedia.net/img/cache/100-square/VqbcmM/2021/7/1/1a2017c3-678b-4d67-a618-609f04ae289e.jpg.webp?ect=4g"
"1661933979-1008","https://www.tokopedia.com/search?page=9&q=macbook&rt=4%2C5&source=universe&srp_component_id=02.02.01.01&st=product","New Macbook Pro 2021 16 inch M1 Pro Chip RAM 16GB/ 1TB SSDRp35.649.000Jakarta Baratapplewatchstuff5.0Terjual 16","https://www.tokopedia.com/applewatchstuff/new-macbook-pro-2021-16-inch-m1-pro-chip-ram-16gb-1tb-ssd-space-grey?extParam=ivf%3Dfalse%26src%3Dsearch","New Macbook Pro 2021 16 inch M1 Pro Chip RAM 16GB/ 1TB SSD - Space Grey","5","(11 rating)","Rp35.649.000","Terjual 16","Baru","3.000 Gram","Laptop Consumer","applewatchstuff","4.9","Jakarta Barat","READY STOCK!!

BONUS:
HARDCASE
SILICONE CLEAR KEYBOARD COVER
BONUS DI KIRIM SESUAI STOCK YANG ADA JIKA TIDAK DI KIRIM MAKA HABIS, TIDAK TERIMA COMPLAIN TENTANG BONUS DAN TIDAK ADA KIRIM MENYUSUL

Available Color :
- Silver
- Space Grey

100% Original Apple
Garansi 1 Tahun Apple International (bisa dibantu claim)
BNIB (Brand New In Box)

Garansi dikirim random (aktif atau non-aktif)
Apabila ingin request non-aktif, bisa cantumkan di catatan/notes pada saat order
TIDAK BISA REQUEST GARANSI DI CHAT ATAU DISKUSI
Tidak mencantumkan di catatan/notes=dikirim random
Tidak menerima komplain terkait garansi yang sudah berjalan
Barang yang sudah dibuka tidak bisa diretur
Untuk garansi yang aktif/sudah berjalan,akan tetap tercover selisih 1 tahun sejak tanggal unit diterima

Mengapa garansi aktif/sudah berjalan?
Unit sudah di scan terlebih dahulu oleh pihak Apple untuk menandakan bahwa unit tersebut sudah terjual, oleh karena itu garansi sudah berjalan pertanggal pembelian kami di Apple
Untuk garansi yang aktif/sudah berjalan 100% baru,segel resmi Apple dan tidak pernah dibuka untuk segelnya,mereka hanya aktivasi dengan scan barcode produk

Apple M1 Pro is equipped with 10-core CPU, 16-core GPU, and 16-core neural network engine

10 core CPU
16 core GPU
16GB unified memory
1TB SSD storage
16 core neural network engine
16-inch Liquid Retina XDR display
Three Thunderbolt 4 ports, HDMI port, SDXC card slot, MagSafe 3 port
Smart keyboard with Touch ID
Force touchpad
140W USB-C power converter","https://images.tokopedia.net/img/cache/100-square/VqbcmM/2022/1/15/3b34d1ac-1fcc-4f42-b73a-e1360df553bd.jpg.webp?ect=4g"
"1661935211-1034","https://www.tokopedia.com/search?page=9&q=macbook&rt=4%2C5&source=universe&srp_component_id=02.02.01.01&st=product","MacBook Air 2015 i5 | RAM 4GB | 128GB SSD 13 inchRp5.620.000CashbackJakarta BaratWT Teknologi5.0Terjual 2","https://www.tokopedia.com/wtteknologi/macbook-air-2015-i5-ram-4gb-128gb-ssd-13-inch?extParam=ivf%3Dfalse%26src%3Dsearch","MacBook Air 2015 i5 | RAM 4GB | 128GB SSD 13 inch","5","(1 rating)","Rp5.620.000","Terjual 2","Bekas","4.000 Gram","Laptop Consumer","WT Teknologi","4.8","Jakarta Barat","MacBook Air 13inch 2015

Body slim enteng dibawa bawa, logo Apple masih nyala, masih menggunakan magnetik charger sehingga lebih safety.

SPESIFIKASI
🔷 Processor Intel Core i5 1.6Ghz
🔷 RAM 4GB
🔷 SSD 128GB
🔷 VGA Intel HD 6000 1.5GB
🔷 CC 206 Condition Normal
🔷 Layar 13inch
🔷 Logo Apple Nyala
🔷 Backlit Keyboard Nyala
🔷 Kondisi fisik mulus 97%, No Penyok.


KELENGKAPAN
🔷 Unit
🔷 Charger ( Magsafe","https://images.tokopedia.net/img/cache/100-square/VqbcmM/2021/4/6/18ea9572-51bc-4852-bd50-801581f313a7.jpg.webp?ect=4g"
"1661942919-1322","https://www.tokopedia.com/search?page=5&q=macbook&rt=4%2C5&source=universe&srp_component_id=02.02.01.01&st=product","LAPTOP LENOVO IDEAPAD INTEL CORE i3 // RAM 4GB HDD 1TB // WIN 10Rp3.700.000CashbackJakarta BaratMR_elektronik3.5Terjual 11","https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_eaopJpHpUdbm-xgVY789CBUsthbm-FQRo2PcB5QiUE6ZFiPcBWgZUEH_yfH_j7H_KaHZFiyRCsUsthos1Fbm-0g9BRQR-j9fBjUsthosJ76_nNosyhbm-xgVYpyfYagZUEHpHpbsHFH_yFoArpopHdo_eDUSHp9fh5gaUEUMuNZM2jZJ2M33NGPMep_Mh-qMY2_1o-r7BW_sCsQABE3BPc8ujagfBvq1ja_c2gHjNk3_-6qBja_M2gHjNk3_-681BpZ3O7QcuygIgsQu-Myp-6PMoWu3Bvq1BR_c2Vo1NJ__o6uJVR_1zCP7OJe9PozJVNZ3BRq3-W69ugHBu2_fBGQ1O919P6uO1F_9jF81O1Z_zHuVVR_jzVPVB1yR2qepnp_7ztqBBW_9xoQ1uE_uPuq1hAZSgsQ3hXyurOgB2IuSPyHMh0Z325q1OAZ9o-Q_BNyuPjrc-D69PsQ_B0gVP6HVKaQcW-qMY2_1o-r7BW69BxufzFyMFN8MVI69PyHMh0Z325q1OAZ9o-Qjyh3BxGouKp1MxqH7O2_fBGrMzc63hBz7gkgJo-r7BX_M2iH72D3A-G83UpgI2q17jfZ32Cq1hAZS2gHsBN3ByN8B29zSBgHMP2_fB-8jNJu9uouJOR_M2zo1OJ392oucWR_1zuq3gzv_7ibm-Orfua9fBjUstiHmUDUSoBrRo2QfNwq3ei6i-5zRyF8B2S1OUhQJKhQIedy71FQMuv1Suvu1JWo_nFyseRZ7zsHuuGH9ge3JVqr7WwgjubrOJhq7hpQ1BFZiO0u7OmQpPEQSu2oM47_fPs_InaeBUdqjPigMgW_9-wHV-0o7B21RPGPVzXqpze1fYXeRPo_u-hzMhAepoVe9HR1aUDUMVDgaUEUMW79fudy3o7UiFiQSuWyMua9fYM9fVjraUEHsnDUMNOQ3-BrBYxgIowrMuhUstaHmFiyfV79fBjraUE3pUNoaFp6Ae7bAHN6A-Pbm-X9foxQMz2gcV7guYxgIHi6sJpoZFiy3-wPcupPmUEUjdibm-FQRo79fVDgaUEUMoFyOYpqcYF9RuXrZUDUSgBrSo2Qfdi6i-fHiUDUMoxPcuSQR-N9RoOgfPBrRzwy9z7rMBiP9zBUs2QUsHdoAei9ZFirMuDg9gxQMoB9RosQR-BUstFbsyNH_jN6AeNHpypoprFo_1DUSCaq3oB9f-2gmUEH_yOHmFigfYxQVY2gmUEHiFigMBXy3hwrMuDrMVXqOYxgIosQR-BUstOosUXHs1pHArNH_jd6_Uh6mFir9uBrSBwrMuDrMVXqOYpyfYagZUEHmdf6AyNH_jdHAKp6ArRo_ypwe?t=desktop&page=5&dv=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Falvinluo-shop%2Flaptop-lenovo-ideapad-intel-core-i3-ram-4gb-hdd-1tb-win-10-hitam-4gb-500gb%3FextParam%3Divf%253Dfalse%26src%3Dtopads&src=search&is_search=1&ob=23&keywords=macbook&management_type=1","LAPTOP LENOVO IDEAPAD INTEL CORE i3 // RAM 4GB HDD 1TB // WIN 10 - Hitam, 4GB/500GB","3.5","(6 rating)","Rp3.700.000","Terjual 11","Baru","3 kg","Laptop Consumer","MR_elektronik","4.4","Jakarta Barat","Processor: Intel core i3 Slim (2.4 GHz. Cache 2 MB.)
Memory: 4GB DDR4-1866 MHz (Max. Memory: 8GB)
Tipe Video Grafis: Radeon R5 Graphics
Layar: 14 inci HD LED
Teknologi Layar: LED Backlight
Hard Drive: 500GB / HDD 1TB / SSD 128 / SSD 256 / SSD 512
Optical Drive: DVD-RW Super Multi
Input Device: TouchPad
OS Provided: Free DOS
Ports:
1x USB 2.0
1x USB 3.0
1x COMBO audio jack
1x Mini HDMI
1x RJ45
Multimedia: Webcam, Microphone/Speaker
Network: IEEE 802.11a/c, b/g/n
Baterai: 4-Cell Lithium Ion (Li-Ion)


Budayakan membaca sebelum membeli.
Untuk unit yang kita jual semuanya ex display kondisi fisik like new 95-99%
Membeli berarti setuju.
Tidak bisa cancel order.
Jika ada kendala bisa hubungi admin by live chat.
Tidak perlu panik.
GARANSI tukar unit kita berikan selama 1 minggu.
Di atas 1 minggu kita bantu servis.
Dan pastinya kita akan mencarikan solusi terbaik untuk customer.
CUSTOMER FIRST , SERVICE FIRST.
UTAMAKAN CUSTOMER,UTAMAKAN PELAYANAN.
Jika varian warna yg dipesan sedang tidak ada stok, maka kami kirim random, untuk mempercepat proses pengiriman.","https://images.tokopedia.net/img/cache/100-square/VqbcmM/2021/12/6/4d57b1ce-a1b1-4e01-932c-30eab9441608.jpg.webp?ect=4g"
